,id,sentence,research-problem,approach,model,code,dataset,experimental-setup,hyperparameters,baselines,results,tasks,experiments,ablation-analysis
31,31,"We produce both cased and uncased vocabularies and set the vocabulary size to 30 K to match the size of BASEVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
32,32,"The resulting token overlap between BASEVOCAB and SCIVOCAB is 42 % , illustrating a substantial difference in frequently used words between scientific and general domain texts .
",0,0,0,0,0,0,0,0,0,0,0,0
33,33,"Corpus
",0,0,0,0,0,0,0,0,0,0,0,0
34,34,"We train SCIBERT on a random sample of 1.14 M papers from Semantic Scholar .
",0,1,0,0,0,0,0,0,0,0,0,0
35,35,"This corpus consists of 18 % papers from the computer science domain and 82 % from the broad biomedical domain .
",0,1,0,0,0,0,0,0,0,0,0,0
36,36,"We use the full text of the papers , not just the abstracts .
",0,0,0,0,0,0,0,0,0,0,0,0
37,37,"The average paper length is 154 sentences ( 2,769 tokens ) resulting in a corpus size of 3.17B tokens , similar to the 3.3B tokens on which BERT was trained .
",0,0,0,0,0,0,0,0,0,0,0,0
38,38,"We split sentences using Scispa Cy , 2 which is optimized for scientific text .
",0,0,0,0,0,0,0,0,0,0,0,0
39,39,"3 Experimental Setup
",0,0,0,0,0,0,0,0,0,0,0,0
40,40,"Tasks
",0,0,0,0,0,0,0,0,0,0,0,0
41,41,"We experiment on the following core NLP tasks :
",0,0,0,0,0,0,0,0,0,0,0,0
42,42,"1 .
",0,0,0,0,0,0,0,0,0,0,0,0
43,43,"Named Entity Recognition ( NER )
",0,0,0,0,0,0,0,0,0,1,0,0
44,44,"2 . PICO Extraction ( PICO )
",0,0,0,0,0,0,0,0,0,1,0,0
45,45,"3 . Text Classification ( CLS )
",0,0,0,0,0,0,0,0,0,1,0,0
46,46,"4 . Relation Classification ( REL )
",0,0,0,0,0,0,0,0,0,1,0,0
47,47,"5 . Dependency Parsing ( DEP ) 
",0,0,0,0,0,0,0,0,0,1,0,0
48,48,"PICO , like NER , is a sequence labeling task where the model extracts spans describing the Participants , Interventions , Comparisons , and Outcomes in a clinical trial paper .
",0,0,0,0,0,0,0,0,0,0,0,0
49,49,"REL is a special case of text classification where the model predicts the type of relation expressed between two entities , which are encapsulated in the sentence by inserted special tokens .
",0,0,0,0,0,0,0,0,0,0,0,0
50,50,"Datasets
",0,0,0,0,0,0,0,0,0,0,0,0
51,51,"For brevity , we only describe the newer datasets here , and refer the reader to the references in Table 1 for the older datasets .
",0,0,0,0,0,0,0,0,0,0,0,0
52,52,"EBM - NLP annotates PICO spans in clinical trial abstracts .
",0,0,0,0,0,0,0,0,0,0,0,0
53,53,"SciERC annotates entities and relations from computer science ab - 1 https://github.com/google/sentencepiece
",0,0,0,0,0,0,0,0,0,0,0,0
54,54,"2 https://github.com/allenai/SciSpaCy stracts . ACL - ARC and Sci -Cite assign intent labels ( e.g. Comparison , Extension , etc. ) to sentences from scientific papers that cite other papers .
",0,0,0,0,0,0,0,0,0,0,0,0
55,55,"The Paper Field dataset is built from the Microsoft Academic Graph 3 and maps paper titles to one of 7 fields of study .
",0,0,0,0,0,0,0,0,0,0,0,0
56,56,"Each field of study ( i.e. geography , politics , economics , business , sociology , medicine , and psychology ) has approximately 12 K training examples .
",0,0,0,0,0,0,0,0,0,0,0,0
57,57,"Pretrained BERT
",0,0,0,0,0,0,0,0,0,0,0,0
58,58,"Variants
",0,0,0,0,0,0,0,0,0,0,0,0
59,59,"BERT - Base
",0,0,0,0,0,0,0,0,0,0,0,0
60,60,"We use the pretrained weights for BERT - Base released with the original BERT code .
",0,0,0,0,0,0,0,0,0,0,0,0
61,61,"The vocabulary is BASE - VOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
62,62,"We evaluate both cased and uncased versions of this model .
",0,0,0,0,0,0,0,0,0,0,0,0
63,63,"SCIBERT
",0,0,0,0,0,0,0,0,0,0,0,0
64,64,"We use the original BERT code to train SCIBERT on our corpus with the same configuration and size as BERT - Base .
",0,0,0,0,0,0,0,0,0,0,0,0
65,65,"We train 4 different versions of SCIBERT : ( i ) cased or uncased and ( ii ) BASEVOCAB or SCIVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
66,66,"The two models that use BASEVOCAB are finetuned from the corresponding BERT - Base models .
",0,0,0,0,0,0,0,0,0,0,0,0
67,67,"The other two models that use the new SCIVOCAB are trained from scratch .
",0,0,0,0,0,0,0,0,0,0,0,0
68,68,"Pretraining BERT for long sentences can be slow .
",0,0,0,0,0,0,0,0,0,0,0,0
69,69,"Following the original BERT code , we set a maximum sentence length of 128 tokens , and train the model until the training loss stops decreasing .
",0,0,0,0,0,0,0,0,0,0,0,0
70,70,"We then continue training the model allowing sentence lengths up to 512 tokens .
",0,0,0,0,0,0,0,0,0,0,0,0
71,71,"We use a single TPU v 3 with 8 cores .
",0,0,0,0,0,0,0,0,0,0,0,0
72,72,"Training the SCIVOCAB models from scratch on our corpus takes 1 week 5 ( 5 days with max length 128 , then 2 days with max length 512 ) .
",0,0,0,0,0,0,0,0,0,0,0,0
73,73,"The BASEVOCAB models take 2 fewer days of training because they are n't trained from scratch .
",0,0,0,0,0,0,0,0,0,0,0,0
74,74,"All pretrained BERT models are converted to be compatible with PyTorch using the pytorchtransformers library .
",0,0,0,0,0,0,0,0,0,0,0,0
75,75,"All our models ( Sections 3.4 and 3.5 ) are implemented in PyTorch using AllenNLP .
",0,0,0,0,0,0,0,0,0,0,0,0
76,76,"Casing
",0,0,0,0,0,0,0,0,0,0,0,0
77,77,"We follow in using the cased models for NER and the uncased models for all other tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
78,78,"We also use the cased models for parsing .
",0,0,0,0,0,0,0,0,0,0,0,0
79,79,"Some light experimentation showed that the uncased models perform slightly better ( even sometimes on NER ) than cased models .
",0,0,0,0,0,0,0,0,0,0,0,0
80,80,"Finetuning BERT
",0,0,0,0,0,0,0,0,0,0,0,0
81,81,"We mostly follow the same architecture , optimization , and hyperparameter choices used in .
",0,0,0,0,0,0,0,0,0,0,0,0
82,82,"For text classification ( i.e. CLS and REL ) , we feed the final BERT vector for the [ CLS ] token into a linear classification layer .
",0,0,0,0,0,0,0,0,0,0,0,0
83,83,"For sequence labeling ( i.e. NER and PICO ) , we feed the final BERT vector for each token into a linear classification layer with softmax output .
",0,0,0,0,0,0,0,0,0,0,0,0
84,84,"We differ slightly in using an additional conditional random field , which made evaluation easier by guaranteeing well - formed entities .
",0,0,0,0,0,0,0,0,0,0,0,0
85,85,"For DEP , we use the model from with dependency tag and arc embeddings of size 100 and biaffine matrix attention over BERT vectors instead of stacked BiLSTMs .
",0,0,0,0,0,0,0,0,0,0,0,0
86,86,"In all settings , we apply a dropout of 0.1 and optimize cross entropy loss using Adam .
",0,0,0,0,0,0,0,0,0,0,0,0
87,87,"We finetune for 2 to 5 epochs using a batch size of 32 and a learning rate of 5 e - 6 , 1 e - 5 , 2 e - 5 , or 5 e - 5 with a slanted triangular schedule which is equivalent to the linear warmup followed by linear decay .
",0,0,0,0,0,0,0,0,0,0,0,0
88,88,"For each dataset and BERT variant , we pick the best learning rate and number of epochs on the development set and report the corresponding test results .
",0,0,0,0,0,0,0,0,0,0,0,0
89,89,"We found the setting that works best across most datasets and models is 2 or 4 epochs and a learning rate of 2 e - 5 .
",0,0,0,0,0,0,0,0,0,0,0,0
90,90,"While task - dependent , optimal hyperparameters for each task are often the same across BERT variants .
",0,0,0,0,0,0,0,0,0,0,0,0
91,91,"Frozen BERT
",0,0,0,0,0,0,0,0,0,0,0,0
92,92,"Embeddings
",0,0,0,0,0,0,0,0,0,0,0,0
93,93,"We also explore the usage of BERT as pretrained contextualized word embeddings , like ELMo ) , by training simple task - specific models atop frozen BERT embeddings .
",0,0,0,0,0,0,0,0,0,0,0,0
94,94,"For text classification , we feed each sentence of BERT vectors into a 2 - layer BiLSTM of size 200 and apply a multilayer perceptron ( with hidden size 200 ) on the concatenated first and last BiLSTM vectors .
",0,0,0,0,0,0,0,0,0,0,0,0
95,95,"For sequence labeling , we use the same BiLSTM layers and use a conditional random field to guarantee well - formed predictions .
",0,0,0,0,0,0,0,0,0,0,0,0
96,96,"For DEP , we use the full model from with dependency tag and arc embeddings of size 100 and the same BiLSTM setup as other tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
97,97,"We did not find changing the depth or size of the BiLSTMs to significantly impact results .
",0,0,0,0,0,0,0,0,0,0,0,0
98,98,"We optimize cross entropy loss using Adam , but holding BERT weights frozen and applying a dropout of 0.5 .
",0,0,0,0,0,0,0,0,0,0,0,0
99,99,"We train with early stopping on the development set ( patience of 10 ) using a batch size of 32 and a learning rate of 0.001 .
",0,0,0,0,0,0,0,0,0,0,0,0
100,100,"We did not perform extensive hyperparameter search , but while optimal hyperparameters are going to be task - dependent , some light experimentation showed these settings work fairly well across most tasks and BERT variants .
",0,0,0,0,0,0,0,0,0,0,0,0
101,101,"summarizes the experimental results .
",0,0,0,0,0,0,0,0,0,0,0,0
102,102,"We observe that SCIBERT outperforms BERT - Base on scientific tasks ( + 2.11 F1 with finetuning and + 2.43 F1 without )
",0,0,0,0,0,0,0,0,1,0,0,0
103,103,"8 . We also achieve new SOTA results on many of these tasks using SCIBERT .
",0,0,0,0,0,0,0,0,0,0,0,0
104,104,"Results
",0,0,0,0,0,0,0,0,0,0,0,0
105,105,"Biomedical Domain
",0,0,0,0,0,0,0,0,0,0,0,0
106,106,"We observe that SCIBERT outperforms BERT - Base on biomedical tasks ( + 1.92 F1 with finetuning and + 3.59 F1 without ) .
",0,0,0,0,0,0,0,0,1,0,0,0
107,107,"In addition , SCIB - ERT achieves new SOTA results on BC5 CDR and ChemProt , and EBM - NLP .
",0,0,0,0,0,0,0,0,1,0,0,0
108,108,"SCIBERT performs slightly worse than SOTA on 3 datasets .
",0,0,0,0,0,0,0,0,0,0,0,0
109,109,"The SOTA model for JNLPBA is a BiLSTM - CRF ensemble trained on multiple NER datasets not just JNLPBA .
",0,0,0,0,0,0,0,0,0,0,0,0
110,110,"The SOTA model for NCBI - disease is BIOBERT , which is BERT - Base finetuned on 18B tokens from biomedical papers .
",0,0,0,0,0,0,0,0,0,0,0,0
111,111,"The SOTA result for GENIA is in Nguyen and Verspoor ( 2019 ) which uses the model from with partof - speech ( POS ) features , which we do not use .
",0,0,0,0,0,0,0,0,0,0,0,0
112,112,"In , we compare SCIBERT results with reported BIOBERT results on the subset of datasets included in .
",0,0,0,0,0,0,0,0,0,0,0,0
113,113,"Interesting , SCIBERT outperforms BIOBERT results on 7 The SOTA paper did not report a single score .
",0,0,0,0,0,0,0,0,0,0,0,0
114,114,"We compute the average of the reported results for each class weighted by number of examples in each class .
",0,0,0,0,0,0,0,0,0,0,0,0
115,115,"8 Forrest of this paper , all results reported in this manner are averaged over datasets excluding UAS for DEP since we already include LAS .
",0,0,0,0,0,0,0,0,0,0,0,0
116,116,"BC5 CDR and ChemProt , and performs similarly on JNLPBA despite being trained on a substantially smaller biomedical corpus .
",0,0,0,0,0,0,0,0,0,0,0,0
117,117,"Computer Science Domain
",0,0,0,0,0,0,0,0,0,0,0,0
118,118,"We observe that SCIBERT outperforms BERT - Base on computer science tasks ( + 3.55 F1 with finetuning and + 1.13 F1 without ) .
",0,0,0,0,0,0,0,0,1,0,0,0
119,119,"In addition , SCIBERT achieves new SOTA results on ACL - ARC , and the NER part of SciERC .
",0,0,0,0,0,0,0,0,1,0,0,0
120,120,"For relations in Sci - ERC , our results are not comparable with those in because we are performing relation classification given gold entities , while they perform joint entity and relation extraction .
",0,0,0,0,0,0,0,0,0,0,0,0
121,121,"Multiple Domains
",0,0,0,0,0,0,0,0,0,0,0,0
122,122,"We observe that SCIBERT outperforms BERT - Base on the multidomain tasks ( + 0.49 F1 with finetuning and + 0.93 F1 without ) .
",0,0,0,0,0,0,0,0,1,0,0,0
123,123,"In addition , SCIBERT outperforms the SOTA on Sci - Cite .
",0,0,0,0,0,0,0,0,1,0,0,0
124,124,"No prior published SOTA results exist for the Paper Field dataset .
",0,0,0,0,0,0,0,0,0,0,0,0
125,125,"Discussion
",0,0,0,0,0,0,0,0,0,0,0,0
126,126,"Effect of Finetuning
",0,0,0,0,0,0,0,0,0,0,0,0
127,127,"We observe improved results via BERT finetuning rather than task - specific architectures atop frozen embeddings ( + 3.25 F1 with SCIBERT and + 3.58 with BERT - Base , on average ) .
",0,0,0,0,0,0,0,0,0,0,0,0
128,128,"For each scientific domain , we observe the largest effects of finetuning on the computer science ( + 5.59 F1 with SCIB - ERT and + 3.17 F1 with BERT - Base ) and biomedical tasks ( + 2.94 F1 with SCIBERT and + 4.61 F1 with BERT - Base ) , and the smallest effect on multidomain tasks ( + 0.7 F1 with SCIBERT and + 1.14 F1 with BERT - Base ) .
",0,0,0,0,0,0,0,0,0,0,0,0
129,129,"On every dataset except BC5 CDR and SciCite , BERT - Base with finetuning outperforms ( or performs similarly to ) a model using frozen SCIBERT embeddings .
",0,0,0,0,0,0,0,0,0,0,0,0
130,130,"Effect of SCIVOCAB
",0,0,0,0,0,0,0,0,0,0,0,0
131,131,"We assess the importance of an in - domain scientific vocabulary by repeating the finetuning experiments for SCIBERT with BASEVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
132,132,"We find the optimal hyperparameters for SCIBERT - BASEVOCAB often coincide with those of SCIB - ERT - SCIVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
133,133,"Averaged across datasets , we observe + 0.60 F1 when using SCIVOCAB .
",0,0,0,0,0,0,0,0,0,0,0,0
134,134,"For each scientific do - main , we observe + 0.76 F1 for biomedical tasks , + 0.61 F1 for computer science tasks , and + 0.11 F1 for multidomain tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
135,135,"Given the disjoint vocabularies ( Section 2 ) and the magnitude of improvement over BERT - Base ( Section 4 ) , we suspect that while an in - domain vocabulary is helpful , SCIBERT benefits most from the scientific corpus pretraining .
",0,0,0,0,0,0,0,0,0,0,0,0
136,136,"Related Work
",0,0,0,0,0,0,0,0,0,0,0,0
137,137,"Recent work on domain adaptation of BERT includes BIOBERT and CLIN - ICALBERT .
",0,0,0,0,0,0,0,0,0,0,0,0
138,138,"BIOBERT is trained on PubMed abstracts and PMC full text articles , and CLIN - ICALBERT is trained on clinical text from the MIMIC - III database .
",0,0,0,0,0,0,0,0,0,0,0,0
139,139,"In contrast , SCIBERT is trained on the full text of 1.14 M biomedical and computer science papers from the Semantic Scholar corpus .
",0,0,0,0,0,0,0,0,0,0,0,0
140,140,"Furthermore , SCIBERT uses an in - domain vocabulary ( SCIVOCAB ) while the other abovementioned models use the original BERT vocabulary ( BASEVOCAB ) .
",0,0,0,0,0,0,0,0,0,0,0,0
141,141,"Conclusion and Future Work
",0,0,0,0,0,0,0,0,0,0,0,0
142,142,"We released SCIBERT , a pretrained language model for scientific text based on BERT .
",0,0,0,0,0,0,0,0,0,0,0,0
143,143,"We evaluated SCIBERT on a suite of tasks and datasets from scientific domains .
",0,0,0,0,0,0,0,0,0,0,0,0
144,144,"SCIBERT significantly outperformed BERT - Base and achieves new SOTA results on several of these tasks , even compared to some reported BIOBERT ) results on biomedical tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
145,145,"For future work , we will release aversion of SCIBERT analogous to BERT - Large , as well as experiment with different proportions of papers from each domain .
",0,0,0,0,0,0,0,0,0,0,0,0
146,146,"Because these language models are costly to train , we aim to build a single resource that 's useful across multiple domains .
",0,0,0,0,0,0,0,0,0,0,0,0
147,147,"title
",0,0,0,0,0,0,0,0,0,0,0,0
148,148,"Extracting Multiple - Relations in One - Pass with Pre-Trained Transformers
",0,0,0,0,0,0,0,0,0,0,0,0
149,149,"abstract
",0,0,0,0,0,0,0,0,0,0,0,0
150,150,"The state - of - the - art solutions for extracting multiple entity - relations from an input paragraph always require a multiple - pass encoding on the input .
",1,0,0,0,0,0,0,0,0,0,0,0
151,151,"This paper proposes anew solution that can complete the multiple entityrelations extraction task with only one - pass encoding on the input corpus , and achieve anew state - of - the - art accuracy performance , as demonstrated in the ACE 2005 benchmark .
",1,0,0,0,0,0,0,0,0,0,0,0
152,152,"Our solution is built on top of the pre-trained self - attentive models ( Transformer ) .
",0,0,0,0,0,0,0,0,0,0,0,0
153,153,"Since our method uses a single - pass to compute all relations at once , it scales to larger datasets easily ; which makes it more usable in real - world applications .
",0,0,0,0,0,0,0,0,0,0,0,0
154,154,"1
",0,0,0,0,0,0,0,0,0,0,0,0
155,155,"Introduction
",0,0,0,0,0,0,0,0,0,0,0,0
156,156,"Relation extraction ( RE ) aims to find the semantic relation between a pair of entity mentions from an input paragraph .
",1,0,0,0,0,0,0,0,0,0,0,0
157,157,"A solution to this task is essential for many downstream NLP applications such as automatic knowledge - base completion , knowledge base question answering , and symbolic approaches for visual question answering , etc .
",0,0,0,0,0,0,0,0,0,0,0,0
158,158,"One particular type of the RE task is multiplerelations extraction ( MRE ) that aims to recognize relations of multiple pairs of entity mentions from an input paragraph .
",1,0,0,0,0,0,0,0,0,0,0,0
159,159,"Because in real - world applications , whose input paragraphs dominantly contain multiple pairs of entities , an efficient and effective solution for MRE has more important and more practical implications .
",0,0,0,0,0,0,0,0,0,0,0,0
160,160,"However , nearly all existing approaches for MRE tasks 2014 ; adopt some variations of the singlerelation extraction ( SRE ) approach , which treats each pair of entity mentions as an independent instance , and requires multiple passes of encoding for the multiple pairs of entities .
",0,0,0,0,0,0,0,0,0,0,0,0
161,161,"The drawback of this approach is obvious - it is computationally expensive and this issue becomes more severe when the input paragraph is large , making this solution impossible to implement when the encoding step involves deep models .
",0,0,0,0,0,0,0,0,0,0,0,0
162,162,"This work presents a solution that can resolve the inefficient multiple - passes issue of existing solutions for MRE by encoding the input only once , which significantly increases the efficiency and scalability .
",0,0,0,0,0,0,0,0,0,0,0,0
163,163,"Specifically , the proposed solution is built on top of the existing transformer - based , pretrained general - purposed language encoders .
",0,0,0,0,0,0,0,0,0,0,0,0
164,164,"In this paper we use Bidirectional Encoder Representations from Transformers ( BERT ) as the transformer - based encoder , but this solution is not limited to using BERT alone .
",0,0,0,0,0,0,0,0,0,0,0,0
165,165,"The two novel modifications to the original BERT architecture are : ( 1 ) we introduce a structured prediction layer for predicting multiple relations for different entity pairs ; and ( 2 ) we make the selfattention layers aware of the positions of all en-tities in the input paragraph .
",0,0,0,0,0,0,0,0,0,0,0,0
166,166,"To the best of our knowledge , this work is the first promising solution that can solve MRE tasks with such high efficiency ( encoding the input in one - pass ) and effectiveness ( achieve anew state - of - the - art performance ) , as proved on the ACE 2005 benchmark .
",0,0,0,0,0,0,0,0,0,0,0,0
167,167,"Background
",0,0,0,0,0,0,0,0,0,0,0,0
168,168,"MRE is an important task as it is an essential prior step for many downstream tasks such as automatic knowledge - base completion and questionanswering .
",0,0,0,0,0,0,0,0,0,0,0,0
169,169,"Popular MRE benchmarks include ACE and ERE .
",0,0,0,0,0,0,0,0,0,0,0,0
170,170,"In MRE , given as a text paragraph x = {x 1 , . . . , x N } and M mentions e = {e 1 , . . . , e M } as input , the goal is to predict the relation r ij for each mention pair ( e i , e j ) either belongs to one class of a list of pre-defined relations R or falls into a special class NA indicating no relation .
",0,0,0,0,0,0,0,0,0,0,0,0
171,171,"This paper uses "" entity mention "" , "" mention "" and "" entity "" interchangeably .
",0,0,0,0,0,0,0,0,0,0,0,0
172,172,"Existing MRE approaches are based on either feature and model architecture selection techniques , or domain adaptations approaches .
",0,0,0,0,0,0,0,0,0,0,0,0
173,173,"But these approaches require multiple passes of encoding over the paragraph , as they treat a MRE task as multiple passes of a SRE task .
",0,0,0,0,0,0,0,0,0,0,0,0
174,174,"Proposed Approach
",0,0,0,0,0,0,0,0,0,0,0,0
175,175,"This section describes the proposed one - pass encoding MRE solution .
",0,1,0,0,0,0,0,0,0,0,0,0
176,176,"The solution is built upon BERT with a structured prediction layer to enable BERT to predict multiple relations with onepass encoding , and an entity - aware self - attention mechanism to infuse the relational information with regard to multiple entities at each layer of hidden states .
",0,1,0,0,0,0,0,0,0,0,0,0
177,177,"The framework is illustrated in 1 .
",0,0,0,0,0,0,0,0,0,0,0,0
178,178,"It is worth mentioning that our solution can easily use other transformer - based encoders besides BERT , e.g..
",0,0,0,0,0,0,0,0,0,0,0,0
179,179,"Structured Prediction with BERT for MRE
",0,0,0,0,0,0,0,0,0,0,0,0
180,180,"The BERT model has been successfully applied to various NLP tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
181,181,"However , the final prediction layers used in the original model is not applicable to MRE tasks .
",0,0,0,0,0,0,0,0,0,0,0,0
182,182,"The MRE task essentially requires to perform edge predictions over a graph with entities as nodes .
",0,0,0,0,0,0,0,0,0,0,0,0
183,183,"Inspired by , we propose that we can first encode the input paragraph using BERT .
",0,0,0,0,0,0,0,0,0,0,0,0
184,184,"Thus , the representation fora pair of entity mentions ( e i , e j ) can be denoted as oi and o j respectively .
",0,0,0,0,0,0,0,0,0,0,0,0
185,185,"In the case of a mention e i consist of multiple hidden states ( due to the byte pair encoding ) , oi is aggregated via average - pooling over the hidden states of the corresponding tokens in the last BERT layer .
",0,0,0,0,0,0,0,0,0,0,0,0
186,186,"We then concatenate oi and o j denoted as [ o i : o j ] , and pass it to a linear classifier 2 to predict the relation
",0,0,0,0,0,0,0,0,0,0,0,0
187,187,"where W L ?
",0,0,0,0,0,0,0,0,0,0,0,0
188,188,"R 2 dzl .
",0,0,0,0,0,0,0,0,0,0,0,0
189,189,"dz is the dimension of BERT embedding at each token position , and l is the number of relation labels .
",0,0,0,0,0,0,0,0,0,0,0,0
190,190,"Entity - Aware Self - Attention based on Relative Distance
",0,0,0,0,0,0,0,0,0,0,0,0
191,191,"This section describes how we encode multiplerelations information into the model .
",0,0,0,0,0,0,0,0,0,0,0,0
192,192,"The key concept is to use the relative distances between words and entities to encode the positional information for each entity .
",0,0,0,0,0,0,0,0,0,0,0,0
193,193,"This information is propagated through different layers via attention computations .
",0,0,0,0,0,0,0,0,0,0,0,0
194,194,"Following , for each pair of word tokens ( x i , x j ) with the input representations from the previous layer ash i and h j , we extend the computation of self - attention z i as :
",0,0,0,0,0,0,0,0,0,0,0,0
195,195,"are the parameters of the model , and dz is the dimension of the output from the self - attention layer .
",0,0,0,0,0,0,0,0,0,0,0,0
196,196,"Compared to standard BERT 's self - attention , a V ij , a K ij ?
",0,0,0,0,0,0,0,0,0,0,0,0
197,197,"R dz are extra , which could be viewed as the edge representation between the input element x i and x j .
",0,0,0,0,0,0,0,0,0,0,0,0
198,198,"Specifically , we devise a V ij and a K ij to encourage each token to be aware of the relative distance to different entity mentions , and vice versa .
",0,0,0,0,0,0,0,0,0,0,0,0
199,199,"Adapted from , we argue that the relative distance information will not help if the distance is beyond a certain threshold .
",0,0,0,0,0,0,0,0,0,0,0,0
200,200,"Hence we first define the distance function as :
",0,0,0,0,0,0,0,0,0,0,0,0
201,201,"This distance definition clips all distances to a region [?k , k].
",0,0,0,0,0,0,0,0,0,0,0,0
202,202,"k is a hyper - parameter to be tuned on the development set .
",0,0,0,0,0,0,0,0,0,0,0,0
203,203,"We can now define a V ij and a K ij formally as :
",0,0,0,0,0,0,0,0,0,0,0,0
204,204,"As defined above , if either token xi or x j belongs to an entity , we will introduce a relative positional representation according to their distance .
",0,0,0,0,0,0,0,0,0,0,0,0
205,205,"The distance is defined in an entity - centric way as we always compute the distance from the entity mention to the other token .
",0,0,0,0,0,0,0,0,0,0,0,0
206,206,"If neither xi nor x j are entity mentions , we explicitly assign a zero vector to a K ij and a V ij .
",0,0,0,0,0,0,0,0,0,0,0,0
